t,year,rocket_arrivals_tons,elevator_arrivals_tons,isru_production_tons,cumulative_city_tons,D_E_aggressive,D_M,D_total_aggressive,D_E_conservative,D_M_conservative,D_total_conservative
124,2060.3333333333335,21795.207317140048,44749.99999999999,266180.8292685601,38653037.158865914,4451655645.588218,30922429.72709272,4482578075.3153105,35979857.52816011,7732293.704564635,43712151.23272474
125,2060.4166666666665,21830.336010596213,44750.00000000001,266321.3440423848,38985938.838918895,4497118681.990258,31188751.071135104,4528307433.061394,36213239.60882998,7856659.384071124,44069898.99290111
126,2060.5,21865.226899710655,44750.00000000001,266460.90759884263,39319014.973417446,4542654291.441656,31455211.978733946,4574109503.42039,36446683.89734829,7981114.8608553205,44427798.75820361
127,2060.5833333333335,21899.88066421114,44750.0,266599.5226568445,39652264.3767385,4588261980.723215,31721811.50139079,4619983792.224606,36680189.753922276,8105659.698252977,44785849.45217525
128,2060.6666666666665,21934.297998168764,44750.0,266737.191992675,39985685.86672935,4633941258.059406,31988548.693383463,4665929806.7527895,36913289.33954555,8230667.221747036,45143956.56129258
129,2060.75,21968.479609698097,44750.0,266873.91843879235,40319278.26477784,4679691633.147578,32255422.611822255,4711947055.7594,37146109.34846537,8356035.133049974,45502144.48151534
130,2060.8333333333335,22213.988011240457,44750.00000000001,267855.9520449618,40654098.20483405,4725952665.7109585,32523278.563867215,4758475944.274826,37380723.08180343,8480950.098424483,45861673.18022792
131,2060.9166666666665,22248.024514104254,44750.0,267992.098056417,40989088.32740456,4772284494.200295,32791270.661923632,4805075764.862219,37599845.81750531,8618394.007919403,46218239.82542471
132,2061.0,22281.825254804917,44750.00000000001,268127.3010192197,41324247.453678586,4818686628.230289,33059397.962942854,4851746026.193233,37849451.06676626,8731587.109529857,46581038.176296115
133,2061.0833333333335,22315.3910019753,44750.0,268261.5640079012,41659574.40868846,4865158579.014398,33327659.526950754,4898486238.541348,38083429.758491844,8857415.720157292,46940845.47864914
134,2061.1666666666665,22348.72253693355,44750.0,268394.8901477342,41995068.02137313,4911699859.391219,33596054.417098485,4945295913.808317,38317464.97362303,8983332.438200079,47300797.41182311
135,2061.25,22381.82065339033,44750.0,295248.1700443646,42330727.12464008,4958309983.850271,33891302.58714285,4992201286.437414,38584957.222675174,9109336.809002727,47694294.0316779
136,2061.3333333333335,22414.68615715619,44750.0,241937.85719782143,42666550.55542586,5004988468.557157,34133240.44434067,5039121709.001497,38785702.58408685,9235428.37707121,48021130.96115806
137,2061.4166666666665,22447.31986585261,44750.0,268928.6660702691,43002537.15475512,5051734831.37813,34402169.110410936,5086137000.488541,39020078.030355,9361606.686126962,48381684.71648196
138,2061.5,22693.81520489758,44749.99999999999,269635.8742127316,43339756.23077961,5098993904.504317,34671804.98462367,5133665709.488941,39255229.63182904,9487871.279160464,48743100.9109895
139,2061.5833333333335,22726.294228006907,44750.00000000001,269905.17691202764,43677137.701919645,5146320533.998571,34941710.161535695,5181262244.160107,39490130.7556459,9614605.557019,49104736.3126649
140,2061.6666666666665,22758.541793348064,44750.0,270034.1671733922,44014680.410886385,5193714238.428736,35211744.32870909,5228925982.757444,39725085.29575481,9741426.09210526,49466511.387860075
141,2061.75,22790.558771141445,44749.99999999999,297050.92429814534,44352383.20474209,5241174538.172709,35508795.25300723,5276683333.425716,39993703.54031675,9868332.420753852,49862035.961070605
142,2061.8333333333335,22822.34604209996,44750.0,243400.6949548202,44690244.934952594,5288700955.440277,35752195.94796205,5324453151.388239,40195152.33648652,9995324.078772862,50190476.415259376
143,2061.9166666666665,22853.90449715014,44750.0,270415.6179886005,45028264.45743834,5336293014.29435,36022611.565950654,5372315625.8603,40430263.705568716,10122400.601495702,50552664.307064414
144,2062.0,22885.235037155464,44750.0,270540.94014862186,45366440.63262412,5383950240.671633,36293152.506099276,5420243393.177732,40665426.22783352,10249561.52383248,50914987.751665995
145,2062.0833333333335,22916.338572640536,44750.0,271166.8431559373,45704772.32548732,5431672162.402725,36564319.34925521,5468236481.751981,40885414.417682104,10389487.815109545,51274902.23279165
146,2062.1666666666665,23163.699193552384,44750.0,298334.3559734344,46044340.82145509,5479908594.225314,36862653.70522865,5516771247.930543,41169987.36886227,10504913.810138846,51674901.179001115
147,2062.25,23194.640661455433,44749.99999999999,244597.5145812216,46384064.02476236,5528209384.301142,37107251.21980987,5565316635.520951,41371919.0551003,10632715.975729642,52004635.03082994
148,2062.3333333333335,23225.35579640927,44750.00000000001,271901.42318563705,46723940.803744406,5576574061.857673,37379152.64299551,5613953214.500669,41607876.393445894,10760601.528238805,52368477.9216847
149,2062.4166666666665,23255.84555381446,44750.0,272023.3822152578,47063970.031513475,5625002158.109607,37651176.02521077,5662653334.134817,41843882.53600808,10888569.996404314,52732452.532412395
150,2062.5,23286.11089747489,44750.0,272144.4435898995,47404150.58600085,5673493206.276355,37923320.468800664,5711416526.745155,42079936.94995426,11016620.908837276,53096557.85879153
151,2062.5833333333335,23316.152799334424,44749.99999999999,272264.6111973376,47744481.34999753,5722046741.59897,38195585.079998,5760242326.678968,42315546.341016464,11145148.007184848,53460694.34820131
152,2062.6666666666665,23345.972239217717,44750.00000000001,272383.8889568709,48084961.21119361,5770662301.356544,38467968.968954876,5809130270.325499,42535228.22154874,11286536.391715894,53821764.613264635
153,2062.75,23375.570204573647,44750.00000000001,272502.28081829456,48425589.06221648,5819339424.882057,38740471.24977317,5858079896.13183,42786903.15417881,11402448.726430133,54189351.880608946
